Epoch 257 loss = 84.29303 	 PPV@L = 0.906 	 First Error = 37
Epoch 258 loss = 84.3511 	 PPV@L = 0.906 	 First Error = 37
Epoch 259 loss = 83.88122 	 PPV@L = 0.906 	 First Error = 37
Epoch 260 loss = 83.91326 	 PPV@L = 0.906 	 First Error = 37
Epoch 261 loss = 83.94513 	 PPV@L = 0.906 	 First Error = 37
Epoch 262 loss = 84.02706 	 PPV@L = 0.906 	 First Error = 38
Epoch 263 loss = 83.89132 	 PPV@L = 0.906 	 First Error = 37
Epoch 264 loss = 83.94346 	 PPV@L = 0.906 	 First Error = 37
Epoch 265 loss = 83.73344 	 PPV@L = 0.906 	 First Error = 37
Epoch 266 loss = 83.93534 	 PPV@L = 0.906 	 First Error = 38
Epoch 267 loss = 83.94981 	 PPV@L = 0.906 	 First Error = 37
Epoch 268 loss = 83.62249 	 PPV@L = 0.906 	 First Error = 39
Epoch 269 loss = 83.65731 	 PPV@L = 0.906 	 First Error = 37
Epoch 270 loss = 83.68328 	 PPV@L = 0.906 	 First Error = 37
Epoch 271 loss = 83.62121 	 PPV@L = 0.906 	 First Error = 37
Epoch 272 loss = 83.44721 	 PPV@L = 0.906 	 First Error = 38
Epoch 273 loss = 83.39252 	 PPV@L = 0.906 	 First Error = 38
Epoch 274 loss = 83.4194 	 PPV@L = 0.906 	 First Error = 38
Epoch 275 loss = 83.51201 	 PPV@L = 0.906 	 First Error = 37
Epoch 276 loss = 83.65368 	 PPV@L = 0.906 	 First Error = 37
Epoch 277 loss = 83.3448 	 PPV@L = 0.906 	 First Error = 37
Epoch 278 loss = 83.3745 	 PPV@L = 0.906 	 First Error = 37
Epoch 279 loss = 83.27288 	 PPV@L = 0.906 	 First Error = 37
Epoch 280 loss = 83.08129 	 PPV@L = 0.906 	 First Error = 37
Epoch 281 loss = 83.18008 	 PPV@L = 0.906 	 First Error = 38
Epoch 282 loss = 82.9597 	 PPV@L = 0.906 	 First Error = 36
Epoch 283 loss = 83.10808 	 PPV@L = 0.906 	 First Error = 37
Epoch 284 loss = 83.01387 	 PPV@L = 0.906 	 First Error = 37
Epoch 285 loss = 82.80379 	 PPV@L = 0.887 	 First Error = 37
Epoch 286 loss = 82.75926 	 PPV@L = 0.906 	 First Error = 36
Epoch 287 loss = 82.83818 	 PPV@L = 0.906 	 First Error = 36
Epoch 288 loss = 83.05576 	 PPV@L = 0.906 	 First Error = 36
Epoch 289 loss = 82.93627 	 PPV@L = 0.906 	 First Error = 35
Epoch 290 loss = 82.65174 	 PPV@L = 0.906 	 First Error = 36
Epoch 291 loss = 82.63638 	 PPV@L = 0.906 	 First Error = 37
Epoch 292 loss = 82.53976 	 PPV@L = 0.906 	 First Error = 35
Epoch 293 loss = 82.57822 	 PPV@L = 0.906 	 First Error = 35
Epoch 294 loss = 82.50745 	 PPV@L = 0.906 	 First Error = 34
Epoch 295 loss = 82.32804 	 PPV@L = 0.906 	 First Error = 34
Epoch 296 loss = 82.32843 	 PPV@L = 0.906 	 First Error = 35
Epoch 297 loss = 82.52507 	 PPV@L = 0.906 	 First Error = 34
Epoch 298 loss = 82.40474 	 PPV@L = 0.906 	 First Error = 33
Epoch 299 loss = 82.11321 	 PPV@L = 0.906 	 First Error = 33
Epoch 300 loss = 81.99544 	 PPV@L = 0.906 	 First Error = 32
Epoch 301 loss = 82.07435 	 PPV@L = 0.887 	 First Error = 35
Epoch 302 loss = 82.12344 	 PPV@L = 0.906 	 First Error = 34
Epoch 303 loss = 82.00931 	 PPV@L = 0.906 	 First Error = 34
Epoch 304 loss = 82.00413 	 PPV@L = 0.906 	 First Error = 32
Epoch 305 loss = 82.05868 	 PPV@L = 0.906 	 First Error = 36
Epoch 306 loss = 81.98465 	 PPV@L = 0.906 	 First Error = 33
Epoch 307 loss = 82.02843 	 PPV@L = 0.906 	 First Error = 31
Epoch 308 loss = 81.97111 	 PPV@L = 0.906 	 First Error = 33
Epoch 309 loss = 81.81228 	 PPV@L = 0.906 	 First Error = 33
Epoch 310 loss = 81.51375 	 PPV@L = 0.925 	 First Error = 34
Epoch 311 loss = 81.73123 	 PPV@L = 0.906 	 First Error = 35
Epoch 312 loss = 81.73546 	 PPV@L = 0.887 	 First Error = 31
Epoch 313 loss = 81.62639 	 PPV@L = 0.906 	 First Error = 32
Epoch 314 loss = 81.75921 	 PPV@L = 0.925 	 First Error = 32
Epoch 315 loss = 81.63727 	 PPV@L = 0.906 	 First Error = 34
Epoch 316 loss = 81.52151 	 PPV@L = 0.906 	 First Error = 32
Epoch 317 loss = 81.53803 	 PPV@L = 0.906 	 First Error = 32
Epoch 318 loss = 81.39566 	 PPV@L = 0.887 	 First Error = 33
Epoch 319 loss = 81.37413 	 PPV@L = 0.887 	 First Error = 32
Epoch 320 loss = 81.44777 	 PPV@L = 0.925 	 First Error = 32
Epoch 321 loss = 81.33531 	 PPV@L = 0.887 	 First Error = 32
Epoch 322 loss = 81.42593 	 PPV@L = 0.906 	 First Error = 32
Epoch 323 loss = 81.45715 	 PPV@L = 0.906 	 First Error = 31
Epoch 324 loss = 81.0279 	 PPV@L = 0.906 	 First Error = 31
Epoch 325 loss = 80.95712 	 PPV@L = 0.887 	 First Error = 30
Epoch 326 loss = 80.96865 	 PPV@L = 0.906 	 First Error = 30
Epoch 327 loss = 80.97403 	 PPV@L = 0.887 	 First Error = 31
Epoch 328 loss = 80.86821 	 PPV@L = 0.906 	 First Error = 31
Epoch 329 loss = 81.16758 	 PPV@L = 0.906 	 First Error = 31
Epoch 330 loss = 80.84395 	 PPV@L = 0.906 	 First Error = 32
Epoch 331 loss = 80.69058 	 PPV@L = 0.906 	 First Error = 31
Epoch 332 loss = 80.85196 	 PPV@L = 0.906 	 First Error = 31
Epoch 333 loss = 80.66831 	 PPV@L = 0.906 	 First Error = 31
Epoch 334 loss = 80.77892 	 PPV@L = 0.906 	 First Error = 31
Epoch 335 loss = 80.86171 	 PPV@L = 0.925 	 First Error = 30
Epoch 336 loss = 80.9599 	 PPV@L = 0.906 	 First Error = 31
Epoch 337 loss = 80.80098 	 PPV@L = 0.887 	 First Error = 30
Epoch 338 loss = 80.6225 	 PPV@L = 0.887 	 First Error = 29
