Epoch 216 loss = 96.18114 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 217 loss = 96.17494 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 218 loss = 96.16748 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 219 loss = 96.1609 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 22
Epoch 220 loss = 96.15547 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 221 loss = 96.14884 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 22
Epoch 222 loss = 96.14481 	 PPV@L = 0.792 	 PPV@2L = 0.689 	 First Error = 22
Epoch 223 loss = 96.14058 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 224 loss = 96.13492 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 225 loss = 96.13 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 21
Epoch 226 loss = 96.11895 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 227 loss = 96.11504 	 PPV@L = 0.792 	 PPV@2L = 0.689 	 First Error = 22
Epoch 228 loss = 96.10763 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 229 loss = 96.10208 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 230 loss = 96.09482 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 231 loss = 96.08926 	 PPV@L = 0.755 	 PPV@2L = 0.708 	 First Error = 22
Epoch 232 loss = 96.08462 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 22
Epoch 233 loss = 96.08023 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 22
Epoch 234 loss = 96.07483 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 235 loss = 96.06865 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 22
Epoch 236 loss = 96.06123 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 237 loss = 96.05791 	 PPV@L = 0.774 	 PPV@2L = 0.67 	 First Error = 22
Epoch 238 loss = 96.05611 	 PPV@L = 0.774 	 PPV@2L = 0.708 	 First Error = 22
Epoch 239 loss = 96.05039 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 240 loss = 96.04262 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 241 loss = 96.03573 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 242 loss = 96.02939 	 PPV@L = 0.792 	 PPV@2L = 0.708 	 First Error = 22
Epoch 243 loss = 96.02412 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 244 loss = 96.01955 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 245 loss = 96.01396 	 PPV@L = 0.774 	 PPV@2L = 0.698 	 First Error = 22
Epoch 246 loss = 96.00925 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 22
Epoch 247 loss = 96.0038 	 PPV@L = 0.774 	 PPV@2L = 0.689 	 First Error = 21
Epoch 248 loss = 95.99948 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 249 loss = 95.9932 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 22
Epoch 250 loss = 95.98859 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 251 loss = 95.98487 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 20
Epoch 252 loss = 95.97795 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 253 loss = 95.97491 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 22
Epoch 254 loss = 95.97118 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 22
Epoch 255 loss = 95.96486 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 22
Epoch 256 loss = 95.95902 	 PPV@L = 0.736 	 PPV@2L = 0.708 	 First Error = 22
Epoch 257 loss = 95.95445 	 PPV@L = 0.736 	 PPV@2L = 0.689 	 First Error = 22
Epoch 258 loss = 95.95054 	 PPV@L = 0.774 	 PPV@2L = 0.67 	 First Error = 23
Epoch 259 loss = 95.94584 	 PPV@L = 0.755 	 PPV@2L = 0.689 	 First Error = 22
Epoch 260 loss = 95.94257 	 PPV@L = 0.755 	 PPV@2L = 0.708 	 First Error = 22
Epoch 261 loss = 95.93682 	 PPV@L = 0.736 	 PPV@2L = 0.67 	 First Error = 21
Epoch 262 loss = 95.93143 	 PPV@L = 0.736 	 PPV@2L = 0.67 	 First Error = 24
Epoch 263 loss = 95.92747 	 PPV@L = 0.755 	 PPV@2L = 0.698 	 First Error = 21
Epoch 264 loss = 95.92373 	 PPV@L = 0.792 	 PPV@2L = 0.698 	 First Error = 22
Epoch 265 loss = 95.91951 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 22
Epoch 266 loss = 95.91508 	 PPV@L = 0.755 	 PPV@2L = 0.679 	 First Error = 22
Epoch 267 loss = 95.91246 	 PPV@L = 0.736 	 PPV@2L = 0.679 	 First Error = 22
Epoch 268 loss = 95.90721 	 PPV@L = 0.774 	 PPV@2L = 0.679 	 First Error = 21
Epoch 269 loss = 95.90135 	 PPV@L = 0.736 	 PPV@2L = 0.698 	 First Error = 22
