Epoch 160 loss = 100.40901 	 PPV@L = 0.906 	 First Error = 28
Epoch 161 loss = 100.33807 	 PPV@L = 0.906 	 First Error = 27
Epoch 162 loss = 100.30993 	 PPV@L = 0.906 	 First Error = 30
Epoch 163 loss = 100.28315 	 PPV@L = 0.906 	 First Error = 27
Epoch 164 loss = 100.22437 	 PPV@L = 0.906 	 First Error = 28
Epoch 165 loss = 100.18841 	 PPV@L = 0.906 	 First Error = 30
Epoch 166 loss = 100.12748 	 PPV@L = 0.906 	 First Error = 28
Epoch 167 loss = 100.05619 	 PPV@L = 0.906 	 First Error = 28
Epoch 168 loss = 100.10193 	 PPV@L = 0.906 	 First Error = 31
Epoch 169 loss = 100.05259 	 PPV@L = 0.906 	 First Error = 32
Epoch 170 loss = 99.99422 	 PPV@L = 0.906 	 First Error = 29
Epoch 171 loss = 99.94829 	 PPV@L = 0.906 	 First Error = 32
Epoch 172 loss = 99.89048 	 PPV@L = 0.906 	 First Error = 28
Epoch 173 loss = 99.88764 	 PPV@L = 0.906 	 First Error = 34
Epoch 174 loss = 99.83647 	 PPV@L = 0.906 	 First Error = 30
Epoch 175 loss = 99.81854 	 PPV@L = 0.906 	 First Error = 33
Epoch 176 loss = 99.70754 	 PPV@L = 0.906 	 First Error = 25
Epoch 177 loss = 99.7249 	 PPV@L = 0.906 	 First Error = 28
Epoch 178 loss = 99.6804 	 PPV@L = 0.906 	 First Error = 31
Epoch 179 loss = 99.62538 	 PPV@L = 0.925 	 First Error = 35
Epoch 180 loss = 99.55864 	 PPV@L = 0.925 	 First Error = 33
Epoch 181 loss = 99.60706 	 PPV@L = 0.906 	 First Error = 28
Epoch 182 loss = 99.51251 	 PPV@L = 0.906 	 First Error = 33
Epoch 183 loss = 99.55456 	 PPV@L = 0.906 	 First Error = 31
Epoch 184 loss = 99.50926 	 PPV@L = 0.906 	 First Error = 32
Epoch 185 loss = 99.37897 	 PPV@L = 0.906 	 First Error = 32
Epoch 186 loss = 99.37051 	 PPV@L = 0.906 	 First Error = 34
Epoch 187 loss = 99.35189 	 PPV@L = 0.925 	 First Error = 34
Epoch 188 loss = 99.24658 	 PPV@L = 0.906 	 First Error = 37
Epoch 189 loss = 99.21304 	 PPV@L = 0.925 	 First Error = 36
Epoch 190 loss = 99.18775 	 PPV@L = 0.906 	 First Error = 32
Epoch 191 loss = 99.17801 	 PPV@L = 0.925 	 First Error = 30
Epoch 192 loss = 99.19593 	 PPV@L = 0.943 	 First Error = 35
Epoch 193 loss = 99.06424 	 PPV@L = 0.925 	 First Error = 33
Epoch 194 loss = 98.98515 	 PPV@L = 0.925 	 First Error = 35
Epoch 195 loss = 99.00678 	 PPV@L = 0.925 	 First Error = 41
Epoch 196 loss = 99.08616 	 PPV@L = 0.925 	 First Error = 34
Epoch 197 loss = 98.89276 	 PPV@L = 0.925 	 First Error = 34
Epoch 198 loss = 98.88481 	 PPV@L = 0.906 	 First Error = 38
Epoch 199 loss = 98.90035 	 PPV@L = 0.906 	 First Error = 31
Epoch 200 loss = 98.85578 	 PPV@L = 0.906 	 First Error = 32
Epoch 201 loss = 98.75708 	 PPV@L = 0.906 	 First Error = 44
Epoch 202 loss = 98.69762 	 PPV@L = 0.925 	 First Error = 40
