Epoch 221 loss = 87.00259 	 PPV@L = 0.925 	 PPV@2L = 0.726 	 First Error = 25
Epoch 222 loss = 86.98301 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 25
Epoch 223 loss = 86.97534 	 PPV@L = 0.943 	 PPV@2L = 0.755 	 First Error = 25
Epoch 224 loss = 86.88141 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 26
Epoch 225 loss = 86.90101 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 26
Epoch 226 loss = 86.8298 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 26
Epoch 227 loss = 86.73357 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 25
Epoch 228 loss = 86.73217 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 25
Epoch 229 loss = 86.73864 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 25
Epoch 230 loss = 86.72017 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 26
Epoch 231 loss = 86.66467 	 PPV@L = 0.925 	 PPV@2L = 0.755 	 First Error = 26
Epoch 232 loss = 86.59627 	 PPV@L = 0.925 	 PPV@2L = 0.745 	 First Error = 26
Epoch 233 loss = 86.66922 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 25
Epoch 234 loss = 86.54742 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 235 loss = 86.5059 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 236 loss = 86.48582 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 237 loss = 86.4336 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 26
Epoch 238 loss = 86.41966 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 26
Epoch 239 loss = 86.37985 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 240 loss = 86.43596 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 241 loss = 86.32459 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 242 loss = 86.28236 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 243 loss = 86.21653 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 244 loss = 86.17002 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 26
Epoch 245 loss = 86.12797 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 26
Epoch 246 loss = 86.08272 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 26
Epoch 247 loss = 86.06441 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 27
Epoch 248 loss = 86.05729 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 249 loss = 85.96126 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 27
Epoch 250 loss = 85.97222 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 251 loss = 85.90943 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 27
Epoch 252 loss = 85.88511 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 27
Epoch 253 loss = 85.84014 	 PPV@L = 0.943 	 PPV@2L = 0.755 	 First Error = 27
Epoch 254 loss = 85.80216 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 255 loss = 85.83833 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 27
Epoch 256 loss = 85.76746 	 PPV@L = 0.943 	 PPV@2L = 0.717 	 First Error = 27
Epoch 257 loss = 85.69714 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 27
Epoch 258 loss = 85.71811 	 PPV@L = 0.943 	 PPV@2L = 0.726 	 First Error = 27
Epoch 259 loss = 85.64142 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 260 loss = 85.65858 	 PPV@L = 0.943 	 PPV@2L = 0.736 	 First Error = 27
Epoch 261 loss = 85.57753 	 PPV@L = 0.943 	 PPV@2L = 0.745 	 First Error = 27
